[ 2025-03-26 19:10:15,844 ] 17 root - INFO - Initialize the data ingestion process
[ 2025-03-26 19:10:16,584 ] 68 root - INFO - perform train test split on DF 
[ 2025-03-26 19:10:16,584 ] 69 root - INFO - Exited split_data_as_train_test method of Data Ingestion
[ 2025-03-26 19:10:16,584 ] 72 root - INFO - Exporting train test file
[ 2025-03-26 19:10:16,622 ] 75 root - INFO - successfully exported train test file
[ 2025-03-26 19:10:16,622 ] 19 root - INFO - Data ingestion process completed
[ 2025-03-26 19:10:16,624 ] 25 root - INFO - Initialize the data validation
[ 2025-03-26 19:10:16,631 ] 33 root - INFO - Reqired number of columns: 2
[ 2025-03-26 19:10:16,631 ] 34 root - INFO - Actual number of columns: 31
[ 2025-03-26 19:10:16,631 ] 33 root - INFO - Reqired number of columns: 2
[ 2025-03-26 19:10:16,631 ] 34 root - INFO - Actual number of columns: 31
[ 2025-03-26 19:10:16,688 ] 27 root - INFO - Data validation process completed
[ 2025-03-26 19:10:16,688 ] 33 root - INFO - Initialize the data transformation process
[ 2025-03-26 19:10:16,688 ] 51 root - INFO - Enter data transformation method of the transformation class 
[ 2025-03-26 19:10:16,688 ] 53 root - INFO - Starting data transformation
[ 2025-03-26 19:10:16,696 ] 41 root - INFO - Enter get_data_transformer_object of transformers class
[ 2025-03-26 19:10:16,696 ] 44 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-26 19:10:16,699 ] 53 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-26 19:10:16,701 ] 57 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-26 19:10:16,702 ] 35 root - INFO - Data transformation process completed
